Time,penyinaran matahari,avg kecepatan angin(knot),arah angin terbanyak,curah hujan(mm),titik panas
2014-01,74,7,,94,
2014-02,74,7,,109,
2014-03,59,4,,230,
2014-04,60,2,,225,
2014-05,61,4,,336,
2014-06,64,6,,254,
2014-07,80,6,,114,
2014-08,57,4,,290,
2014-09,71,5,,92,
2014-10,57,4,,305,
2014-11,44,4,,430,
2014-12,67,5,,276,
2015-01,,,,194,
2015-02,,,,269,
2015-03,,,,174,
2015-04,,,,432,
2015-05,,,,270,
2015-06,,,,158,
2015-07,,,,78,
2015-08,,,,44,
2015-09,,,,6,
2015-10,,,,73,
2015-11,,,,352,
2015-12,,,,195,
2016-01,56,4,T/A,402.1,
2016-02,55,4,T/A,546.5,
2016-03,63,4,T/A,549.3,
2016-04,58,3,T/A,248,
2016-05,63,3,T/A,705,
2016-06,61,4,T/A,461.4,
2016-07,77,5,T/A,349.1,
2016-08,70,7,T/A,40.1,
2016-09,71,5,T/A,297.7,
2016-10,55,5,T/A,382.2,
2016-11,49,4,T/A,355.3,
2016-12,49,4,T/A,570.9,
2017-01,62,6,T/A,"18,3",
2017-02,56,7,T/A,"13,4",
2017-03,64,5,T/A,"15,2",
2017-04,67,6,T/A,"12,1",
2017-05,67,5,T/A,"10,9",
2017-06,73,5,T/A,"13,0",
2017-07,71,5,T/A,"13,9",
2017-08,56,7,T/A,"21,0",
2017-09,50,6,T/A,"14,4",
2017-10,57,5,T/A,"15,3",
2017-11,52,5,T/A,"21,6",
2017-12,63,8,T/A,"11,3",
2018-01,50,4,T/A,104.7,
2018-02,79,5,T/A,40.5,
2018-03,73,3,T/A,32.3,
2018-04,75,2,T/A,50,
2018-05,73,2,T/A,53.2,
2018-06,78,2,T/A,79.7,
2018-07,89,4,T/A,35.8,
2018-08,96,5,T/A,9.4,
2018-09,80,3,T/A,49.9,
2018-10,63,3,T/A,82.1,
2018-11,70,3,T/A,58.2,
2018-12,60,2,T/A,15.6,
2019-01,60,5,T/A,"42,0",
2019-02,59,4,T/A,"46,0",
2019-03,67,4,T/A,"17,0",
2019-04,59,5,T/A,"58,0",
2019-05,74,4,T/A,"45,0",
2019-06,68,5,T/A,"68,0",
2019-07,7,3,T/A,"31,7",
2019-08,51,4,T/A,"61,9",
2019-09,83,6,T/A,"52,0",
2019-10,61,4,T/A,"84,0",
2019-11,65,5,T/A,"58,0",
2019-12,55,4,T/A,"76,0",
2020-01,"55,52","2,22",T/A,"315,50",
2020-02,"63,84","2,25",T/A,"236,90",
2020-03,"59,83","2,45",T/A,"131,70",
2020-04,"76,17","2,64",T/A,"326,20",
2020-05,"70,96","2,68",T/A,"227,00",
2020-06,"74,75","2,70",T/A,"263,60",
2020-07,"68,00","2,78",T/A,"473,20",
2020-08,"80,40","2,70",T/A,"244,90",
2020-09,"58,83","2,93",T/A,"414,50",
2020-10,"71,13","3,01",T/A,"244,00",
2020-11,"58,32","2,64",T/A,"388,50",
2020-12,"75,44","3,65",T/A,"140,80",
2021-01,"44,0",T/A,T/A,"262,2",
2021-02,"71,0",T/A,T/A,"120,9",
2021-03,"56,0",T/A,T/A,"327,3",
2021-04,"70,0",T/A,T/A,"188,0",
2021-05,"66,0",T/A,T/A,"339,8",
2021-06,"66,0",T/A,T/A,"199,7",
2021-07,"70,0",T/A,T/A,"223,0",
2021-08,"56,0",T/A,T/A,"576,4",
2021-09,"56,0",T/A,T/A,"369,0",
2021-10,"62,0",T/A,T/A,"226,3",
2021-11,"59,0",T/A,T/A,"345,4",
2021-12,"60,0",T/A,T/A,"123,4",
2022-01,"5,2","6,61",T/A,"139,8",
2022-02,"6,3","7,00",T/A,"114,7",
2022-03,"6,8","7,78",T/A,"152,7",
2022-04,"5,9","6,61",T/A,"264,6",
2022-05,"5,8","6,80",T/A,"169,8",
2022-06,"5,5","7,00",T/A,"234,6",
2022-07,"6,0","6,80",T/A,"205,9",
2022-08,"5,5","7,58",T/A,"293,4",
2022-09,"4,7","7,58",T/A,"186,2",
2022-10,"4,3","7,00",T/A,"542,8",
2022-11,"4,9","7,58",T/A,"202,4",
2022-12,"5,1","8,50",T/A,"336,5",
2023-01,"5,7","4,10",T/A,"255,40",
2023-02,"6,7","4,20",T/A,"130,30",
2023-03,"4,6","3,90",T/A,"295,40",
2023-04,"6,1","3,60",T/A,"158,60",
2023-05,"7,1","3,70",T/A,"121,00",
2023-06,"6,8","3,70",T/A,"250,20",
2023-07,"7,3","4,60",T/A,"354,60",
2023-08,"6,6","4,20",T/A,"73,70",
2023-09,"6,1","4,70",T/A,"213,80",
2023-10,"5,8","3,60",T/A,"363,30",
2023-11,"5,3","3,50",T/A,"485,50",
2023-12,"5,1","3,40",T/A,"408,70",
2024-01,"4,70","1,60",T/A,"277,60",
2024-02,"5,80","1,60",T/A,"308,10",
2024-03,"5,40","1,60",T/A,"401,70",
2024-04,"5,80","1,60",T/A,"302,20",
2024-05,"5,30","1,10",T/A,"484,30",
2024-06,"5,40","1,10",T/A,"221,80",
2024-07,"7,10","1,60",T/A,"120,00",
2024-08,"5,40","1,60",T/A,"432,00",
2024-09,"6,70","1,60",T/A,"222,90",
2024-10,"6,50","1,60",T/A,"226,00",
2024-11,"5,20","1,60",T/A,"427,60",
2024-12,"4,50","2,70",T/A,"213,40",
