year_month,tile_1,tile_2,tile_3,tile_4,tile_5,tile_6,tile_7,tile_8,tile_9,tile_10,tile_11,tile_12,tile_13,tile_14,tile_15,tile_16,tile_17,tile_18,tile_19,tile_20,tile_21,tile_22,tile_23,tile_24,tile_25
2025-01,0.0,0.0,0.0,0.0,0.0,0.07,0.41,0.01,0.01,0.05,0.12,0.34,0.02,0.0,0.06,0.02,0.12,0.01,0.0,0.01,0.01,0.18,0.0,0.0,0.0
2025-02,0.0,0.0,0.0,0.0,0.0,0.2,1.39,0.26,0.01,0.11,0.38,0.99,0.34,0.0,0.13,0.02,0.31,0.01,0.0,0.2,0.32,0.38,0.0,0.0,0.07
2025-03,0.0,0.0,0.0,0.0,0.0,0.45,0.81,0.2,0.01,0.11,0.13,0.47,0.02,0.0,0.06,0.02,0.25,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0
2025-04,0.0,0.0,0.0,0.0,0.0,0.13,0.36,0.01,0.01,0.11,0.13,0.42,0.02,0.0,0.07,0.02,0.13,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0
2025-05,0.0,0.0,0.0,0.0,0.0,0.07,0.24,0.01,0.01,0.05,0.14,0.25,0.02,0.0,0.07,0.02,0.2,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0
2025-06,0.0,0.0,0.0,0.0,0.0,0.14,0.25,0.01,0.01,0.05,0.15,0.27,0.02,0.0,0.07,0.02,0.15,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0
2025-07,0.0,0.0,0.0,0.0,0.0,0.2,1.43,0.26,0.01,0.05,0.29,1.08,0.08,0.0,0.2,0.02,0.36,0.27,0.0,0.01,0.51,0.0,0.0,0.0,0.0
2025-08,0.0,0.0,0.0,0.0,0.0,0.58,2.02,0.45,0.13,0.5,1.07,2.2,0.21,0.0,0.27,0.53,1.47,0.52,0.0,0.13,0.07,0.06,0.0,0.06,0.0
2025-09,0.0,0.0,0.06,0.0,0.0,0.07,0.57,0.13,0.07,0.5,0.36,1.48,0.78,0.25,0.72,0.08,1.27,0.78,0.0,1.09,0.13,0.06,0.0,0.06,0.26
2025-10,0.0,0.0,0.0,0.0,0.0,0.07,0.43,0.07,0.01,0.05,0.16,0.47,0.02,0.0,0.08,0.02,0.16,0.01,0.0,0.07,0.07,0.0,0.0,0.0,0.07
2025-11,0.0,0.0,0.0,0.0,0.0,0.07,0.23,0.01,0.01,0.05,0.15,0.26,0.02,0.0,0.08,0.02,0.15,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
2025-12,0.0,0.0,0.0,0.0,0.0,0.07,0.28,0.01,0.01,0.05,0.15,0.3,0.02,0.0,0.07,0.02,0.2,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
