year_month,tile_1,tile_2,tile_3,tile_4,tile_5,tile_6,tile_7,tile_8,tile_9,tile_10,tile_11,tile_12,tile_13,tile_14,tile_15,tile_16,tile_17,tile_18,tile_19,tile_20,tile_21,tile_22,tile_23,tile_24,tile_25
2025-01,0.0,0.0,0.0,0.0,0.0,1.3,1.1,0.14,0.01,0.04,0.0,2.08,0.13,0.24,0.18,0.39,0.81,0.67,0.0,1.02,0.21,0.0,0.0,0.0,0.13
2025-02,0.0,0.0,0.0,0.0,0.0,1.35,1.24,0.21,0.0,0.0,0.0,2.6,0.53,0.25,0.0,0.32,0.55,0.58,0.0,0.97,0.18,0.0,0.0,0.0,0.04
2025-03,0.0,0.0,0.0,0.0,0.0,1.4,1.3,0.21,0.0,0.0,0.0,2.42,0.45,0.21,0.0,0.3,0.27,0.53,0.0,0.77,0.12,0.0,0.0,0.0,0.0
2025-04,0.0,0.0,0.0,0.0,0.0,1.42,1.38,0.2,0.0,0.0,0.0,2.23,0.36,0.16,0.0,0.32,0.21,0.58,0.0,0.6,0.08,0.0,0.0,0.0,0.0
2025-05,0.0,0.0,0.0,0.0,0.0,1.45,1.44,0.21,0.0,0.0,0.0,2.17,0.25,0.12,0.0,0.36,0.35,0.7,0.0,0.53,0.06,0.0,0.0,0.0,0.01
2025-06,0.0,0.0,0.0,0.0,0.0,1.48,1.47,0.23,0.0,0.03,0.0,2.31,0.14,0.1,0.0,0.42,0.64,0.87,0.0,0.58,0.06,0.0,0.0,0.0,0.04
2025-07,0.0,0.0,0.0,0.0,0.0,1.51,1.47,0.26,0.0,0.09,0.0,2.59,0.06,0.11,0.09,0.47,1.01,1.04,0.0,0.72,0.09,0.0,0.0,0.0,0.08
2025-08,0.0,0.0,0.0,0.0,0.0,1.53,1.42,0.27,0.0,0.14,0.0,2.91,0.02,0.13,0.17,0.51,1.36,1.16,0.0,0.9,0.11,0.0,0.0,0.0,0.12
2025-09,0.0,0.0,0.0,0.0,0.0,1.53,1.32,0.25,0.02,0.16,0.0,3.09,0.0,0.16,0.23,0.54,1.58,1.2,0.0,1.07,0.14,0.0,0.0,0.0,0.15
2025-10,0.0,0.0,0.0,0.0,0.0,1.51,1.19,0.21,0.02,0.16,0.0,3.07,0.0,0.2,0.27,0.55,1.6,1.13,0.0,1.17,0.16,0.0,0.0,0.0,0.16
2025-11,0.0,0.0,0.0,0.0,0.0,1.46,1.07,0.16,0.03,0.14,0.0,2.85,0.0,0.23,0.27,0.55,1.41,0.98,0.0,1.18,0.17,0.0,0.0,0.0,0.15
2025-12,0.0,0.0,0.0,0.0,0.0,1.4,1.04,0.12,0.02,0.1,0.0,2.49,0.0,0.25,0.27,0.55,1.08,0.79,0.0,1.09,0.18,0.0,0.0,0.0,0.13
