year_month,tile_1,tile_2,tile_3,tile_4,tile_5,tile_6,tile_7,tile_8,tile_9,tile_10,tile_11,tile_12,tile_13,tile_14,tile_15,tile_16,tile_17,tile_18,tile_19,tile_20,tile_21,tile_22,tile_23,tile_24,tile_25
2025-01,0.0,0.0,0.02,0.0,0.0,0.29,0.63,0.04,0.0,0.0,0.02,0.4,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02,0.0,0.0,0.01,0.0,0.0,0.42,0.64,0.0,0.0,0.0,0.17,0.2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03,0.0,0.0,0.01,0.0,0.0,0.49,0.64,0.0,0.0,0.0,0.26,0.2,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04,0.0,0.0,0.01,0.0,0.0,0.49,0.74,0.0,0.01,0.0,0.32,0.33,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
2025-05,0.0,0.0,0.01,0.0,0.0,0.47,0.86,0.0,0.03,0.07,0.39,0.5,0.0,0.01,0.0,0.04,0.09,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
2025-06,0.0,0.0,0.01,0.0,0.0,0.42,0.95,0.0,0.04,0.17,0.44,0.65,0.0,0.0,0.0,0.06,0.21,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
2025-07,0.0,0.0,0.01,0.0,0.0,0.36,0.97,0.0,0.05,0.24,0.46,0.73,0.0,0.0,0.09,0.08,0.34,0.08,0.0,0.1,0.13,0.0,0.0,0.0,0.0
2025-08,0.0,0.0,0.0,0.0,0.0,0.31,0.92,0.04,0.05,0.26,0.43,0.72,0.03,0.0,0.17,0.09,0.4,0.15,0.0,0.22,0.11,0.0,0.0,0.0,0.01
2025-09,0.0,0.0,0.0,0.0,0.0,0.28,0.83,0.07,0.05,0.24,0.34,0.62,0.06,0.0,0.21,0.09,0.4,0.12,0.0,0.26,0.09,0.0,0.0,0.0,0.02
2025-10,0.0,0.0,0.0,0.0,0.0,0.27,0.73,0.08,0.03,0.16,0.22,0.47,0.05,0.0,0.2,0.07,0.32,0.03,0.0,0.19,0.04,0.0,0.0,0.0,0.01
2025-11,0.0,0.0,0.0,0.0,0.0,0.29,0.66,0.06,0.02,0.06,0.1,0.33,0.02,0.0,0.13,0.03,0.18,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0
2025-12,0.0,0.0,0.01,0.0,0.0,0.31,0.64,0.04,0.0,0.0,0.01,0.27,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
