year_month,tile_1,tile_2,tile_3,tile_4,tile_5,tile_6,tile_7,tile_8,tile_9,tile_10,tile_11,tile_12,tile_13,tile_14,tile_15,tile_16,tile_17,tile_18,tile_19,tile_20,tile_21,tile_22,tile_23,tile_24,tile_25
2025-01,0.0,0.0,0.01,0.0,0.0,0.12,0.0,0.0,0.01,0.0,0.0,0.23,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02,0.0,0.0,0.01,0.0,0.0,0.16,0.27,0.0,0.02,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0
2025-03,0.0,0.0,0.01,0.0,0.0,0.19,0.54,0.0,0.02,0.0,0.03,0.39,0.0,0.02,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.01,0.0,0.01,0.0
2025-04,0.0,0.0,0.01,0.0,0.0,0.18,0.69,0.0,0.03,0.01,0.14,0.49,0.0,0.02,0.0,0.0,0.03,0.17,0.0,0.0,0.02,0.0,0.0,0.01,0.0
2025-05,0.0,0.0,0.01,0.0,0.0,0.17,0.78,0.0,0.03,0.05,0.26,0.75,0.0,0.02,0.0,0.04,0.18,0.16,0.0,0.0,0.14,0.0,0.0,0.0,0.0
2025-06,0.0,0.0,0.01,0.0,0.0,0.14,0.79,0.02,0.03,0.11,0.37,1.11,0.0,0.01,0.0,0.11,0.37,0.11,0.0,0.0,0.23,0.0,0.0,0.0,0.0
2025-07,0.0,0.0,0.01,0.0,0.0,0.13,0.73,0.03,0.04,0.18,0.45,1.43,0.02,0.01,0.08,0.16,0.55,0.06,0.0,0.0,0.29,0.0,0.0,0.01,0.0
2025-08,0.0,0.0,0.01,0.0,0.0,0.11,0.61,0.01,0.05,0.23,0.47,1.61,0.06,0.01,0.14,0.18,0.67,0.0,0.0,0.0,0.28,0.01,0.0,0.01,0.02
2025-09,0.0,0.0,0.0,0.0,0.0,0.09,0.44,0.0,0.05,0.24,0.43,1.54,0.07,0.01,0.18,0.16,0.7,0.0,0.0,0.03,0.22,0.02,0.0,0.02,0.03
2025-10,0.0,0.0,0.0,0.0,0.0,0.08,0.26,0.0,0.05,0.2,0.32,1.26,0.04,0.0,0.19,0.11,0.61,0.0,0.0,0.02,0.11,0.02,0.0,0.02,0.02
2025-11,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.0,0.04,0.1,0.15,0.89,0.0,0.0,0.17,0.05,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01
2025-12,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.03,0.0,0.0,0.52,0.0,0.0,0.11,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
